marketid,marketname,period,employmentchangepercent,yoyemploymentchangepercent,employmentchange,yoyemploymentchange,totalemployment,singlefamilypermits,annualsinglefamilypermits,multifamilypermits,annualmultifamilypermits,totalpermits,annualtotalpermits,monthlyrevenuechange,annualrevenuechange,unitstarts,annualunitstarts,propertystarts,annualpropertystarts
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M01,-0.0161,0.0569,-47600,156700,2911400,2318,31273,854,8023,3193,39537,0.0063,0.2266,3676,18775,19,72
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M02,0.0119,0.062,34700,171900,2946100,2580,31007,1612,9542,4234,40804,0.0032,0.2203,1720,19577,11,79
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M03,0.0036,0.0613,10600,170800,2956700,2977,30544,1474,10886,4535,41738,0.0029,0.2109,3063,21234,14,87
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M04,0.0062,0.0658,18200,183700,2974900,2538,29999,1769,12147,4347,42474,0.0036,0.1904,3101,23584,12,95
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M05,0.0052,0.0617,15600,173800,2990500,2560,29659,914,12505,3486,42484,0.0057,0.167,1981,24354,9,99
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M06,0.0006,0.0565,1700,159900,2992200,2574,29170,1167,13341,3752,42806,0.006,0.1389,2475,26396,9,107
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M07,0.0047,0.0521,14000,148800,3006200,2065,28920,2780,15681,4865,44903,0.0066,0.1059,1324,26366,5,108
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M08,0.0033,0.0508,10000,145800,3016200,2233,28809,2344,17208,4652,46383,0.0002,0.0783,1506,26446,8,112
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M09,-0.0005,0.0519,-1400,148700,3014800,2090,28604,1965,18210,4100,47207,-0.0099,0.0465,1596,26235,6,113
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M10,0.0092,0.0401,27800,117400,3042600,1915,28163,1811,19008,3797,47613,-0.0087,0.0259,1957,26657,9,115
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M11,0.0068,0.0378,20700,111700,3063300,1468,27501,1894,19835,3420,47834,-0.011,0.0047,2167,26780,9,118
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2022M12,-0.0009,0.0343,-2800,101500,3060500,1185,26503,1719,20303,2942,47323,-0.0085,-0.0036,1941,26507,5,116
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M01,-0.0123,0.0383,-37600,111500,3022900,1330,25515,2293,21742,3627,47757,-0.0017,-0.012,3165,25996,12,109
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M02,0.0052,0.0314,15800,92600,3038700,1570,24505,2014,22144,3612,47135,-0.0018,-0.0172,1816,26092,10,108
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M03,0.0011,0.0288,3300,85300,3042000,2396,23924,822,21492,3247,45847,-0.0012,-0.022,1652,24681,8,102
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M04,0.0019,0.0245,5900,73000,3047900,2080,23466,820,20543,2940,44440,0.0031,-0.0225,653,22233,4,94
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M05,0.0042,0.0234,12700,70100,3060600,2271,23177,2602,22231,4947,45901,-0.002,-0.03,1100,21352,4,89
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M06,0.0036,0.0265,10900,79300,3071500,2240,22843,995,22059,3262,45411,-0.0001,-0.0362,1181,20058,4,84
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M07,-0.0057,0.0159,-17400,47900,3054100,2370,23148,1181,20460,3560,44106,-0.0078,-0.0503,949,19683,3,82
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M08,0.0045,0.0171,13700,51600,3067800,2435,23350,635,18751,3119,42573,-0.0056,-0.0565,1440,19617,4,78
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M09,-0.0003,0.0172,-1000,52000,3066800,1866,23126,614,17400,2497,40970,-0.0135,-0.0602,1237,19258,4,76
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M10,0.0058,0.0138,17800,42000,3084600,1982,23193,1153,16742,3185,40358,-0.0127,-0.0642,887,18188,3,70
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M11,0.0066,0.0136,20300,41600,3104900,1822,23547,658,15506,2515,39453,-0.0098,-0.0625,1963,17984,8,69
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2023M12,0.0007,0.0152,2100,46500,3107000,1720,24082,440,14227,2188,38699,-0.005,-0.0589,1413,17456,5,69
12060,"Atlanta-Sandy Springs-Roswell, GA",Y2024M01,-0.0139,0.0135,-43200,40900,3063800,2171,24923,935,12869,3151,38223,-0.0032,-0.0598,1192,15483,4,61
