marketid,submarketid,geographyname,period,askingrent,askingrpsf,effectiverent,effectiverpsf,askingrentchange,yoyaskingrentchange,effectiverentchange,yoyeffectiverentchange,ssaskingrentchange,ssyoyaskingrentchange,sseffectiverentchange,ssyoyeffectiverentchange,occupancy,occupancychange,yoyoccupancychange,ssoccupancychange,ssyoyoccupancychange,vacancyrate,concession,concessionpercentaskingrent,percentofunitsofferingconcessions,propertiessampled,unitssampled,existingunits,averageyearbuilt,averageunitsize
12060,2,Midtown Atlanta,Y2022M01,2157,2.377,2102,2.316,0.0067,0.1428,0.0069,0.1592,0.0067,0.127,0.0069,0.146,0.9677,0.0061,0.0443,0.0061,0.0459,0.0323,232,0.096,0.236,61,16544,24188,2009,907
12060,2,Midtown Atlanta,Y2022M02,2167,2.388,2120,2.336,0.0047,0.1366,0.0086,0.1606,0.0047,0.1224,0.0086,0.1493,0.9671,-0.0006,0.0396,-0.0006,0.038,0.0329,219,0.091,0.214,61,16544,24188,2009,907
12060,2,Midtown Atlanta,Y2022M03,2183,2.406,2142,2.36,0.0074,0.1333,0.0103,0.1632,0.0074,0.1212,0.0103,0.1534,0.9588,-0.0083,0.0269,-0.0083,0.0255,0.0412,222,0.092,0.185,61,16544,24239,2009,907
12060,2,Midtown Atlanta,Y2022M04,2187,2.41,2149,2.368,0.0017,0.1165,0.0034,0.1539,0.0017,0.1086,0.0034,0.145,0.9571,-0.0017,0.0258,-0.0017,0.0242,0.0429,232,0.094,0.162,61,16544,24239,2009,907
12060,2,Midtown Atlanta,Y2022M05,2221,2.447,2186,2.409,0.0156,0.1087,0.0173,0.1434,0.0157,0.1119,0.0173,0.1448,0.9559,-0.0012,0.0214,-0.0013,0.0207,0.0441,228,0.088,0.152,61,16565,24239,2009,908
12060,2,Midtown Atlanta,Y2022M06,2227,2.456,2203,2.43,0.0027,0.0873,0.0076,0.1273,0.0075,0.0956,0.0114,0.1342,0.9524,-0.0035,0.012,-0.0039,0.0112,0.0476,242,0.1,0.099,60,16334,24239,2009,907
12060,2,Midtown Atlanta,Y2022M07,2250,2.482,2226,2.456,0.0104,0.0794,0.0106,0.1121,0.0104,0.0861,0.0106,0.118,0.9499,-0.0025,-0.0045,-0.0025,-0.0056,0.0501,247,0.101,0.097,60,16334,24440,2009,907
12060,2,Midtown Atlanta,Y2022M08,2271,2.505,2248,2.48,0.0094,0.0759,0.0099,0.1058,0.0094,0.0841,0.0099,0.1132,0.9516,0.0017,-0.0065,0.0017,-0.0076,0.0484,233,0.095,0.099,60,16334,24642,2009,907
12060,2,Midtown Atlanta,Y2022M09,2272,2.51,2250,2.486,0.0005,0.0709,0.001,0.0966,0.0013,0.0761,0.0018,0.1022,0.9468,-0.0048,-0.0119,-0.0047,-0.0126,0.0532,225,0.088,0.098,61,16385,24930,2009,905
12060,2,Midtown Atlanta,Y2022M10,2244,2.479,2222,2.454,-0.0124,0.0559,-0.0127,0.0785,-0.0124,0.0606,-0.0127,0.0836,0.9418,-0.005,-0.0156,-0.005,-0.0164,0.0582,227,0.091,0.099,61,16385,25104,2009,905
12060,2,Midtown Atlanta,Y2022M11,2213,2.444,2187,2.416,-0.014,0.0357,-0.0157,0.0504,-0.014,0.0398,-0.0157,0.0547,0.9372,-0.0046,-0.0255,-0.0046,-0.0266,0.0628,219,0.094,0.117,61,16385,25189,2009,905
12060,2,Midtown Atlanta,Y2022M12,2184,2.412,2159,2.385,-0.0131,0.0193,-0.0127,0.0343,-0.0131,0.0259,-0.0127,0.0394,0.934,-0.0032,-0.0276,-0.0032,-0.0305,0.066,232,0.097,0.106,61,16385,25275,2009,905
12060,2,Midtown Atlanta,Y2023M01,2171,2.398,2139,2.362,-0.0059,0.0066,-0.0094,0.0175,-0.0059,0.0128,-0.0094,0.0228,0.9329,-0.0011,-0.0348,-0.0011,-0.0354,0.0671,192,0.093,0.167,61,16385,25361,2009,905
12060,2,Midtown Atlanta,Y2023M02,2179,2.406,2150,2.375,0.0036,0.0055,0.0054,0.0143,0.0036,0.0116,0.0054,0.0194,0.9293,-0.0036,-0.0378,-0.0036,-0.0385,0.0707,219,0.089,0.13,61,16385,25503,2009,905
12060,2,Midtown Atlanta,Y2023M03,2173,2.393,2141,2.358,-0.0027,-0.0047,-0.0041,-0.0002,-0.0073,-0.0033,-0.0086,0.0001,0.9259,-0.0034,-0.0329,-0.0031,-0.0334,0.0741,193,0.089,0.162,60,16256,25645,2009,908
12060,2,Midtown Atlanta,Y2023M04,2178,2.399,2145,2.362,0.0026,-0.0038,0.0018,-0.0018,0.0026,-0.0024,0.0018,-0.0015,0.924,-0.0019,-0.0331,-0.0019,-0.0336,0.076,183,0.09,0.182,60,16256,25725,2009,908
12060,2,Midtown Atlanta,Y2023M05,2189,2.405,2153,2.365,0.005,-0.0143,0.0037,-0.0152,0.0027,-0.0153,0.0016,-0.0171,0.9265,0.0025,-0.0294,0.0003,-0.0306,0.0735,185,0.089,0.196,59,15976,25880,2009,910
12060,2,Midtown Atlanta,Y2023M06,2189,2.41,2158,2.376,-0.0002,-0.0171,0.0022,-0.0205,0.009,-0.0134,0.0119,-0.0162,0.9346,0.0081,-0.0178,0.006,-0.0185,0.0654,201,0.086,0.154,58,15586,26124,2009,908
12060,2,Midtown Atlanta,Y2023M07,2195,2.419,2156,2.376,0.0028,-0.0246,-0.0009,-0.0316,0.0054,-0.0158,0.0015,-0.0226,0.9327,-0.0019,-0.0172,0.0012,-0.0143,0.0673,198,0.086,0.197,58,15815,26369,2009,907
