property_id,yardi_property_code,greystar_property_name,greystar_property_status,greystar_zip,greystar_city,greystar_state,greystar_lat,greystar_long,greystar_address,realpage_propertyid,realpage_property_name,realpage_zip,realpage_city,realpage_state,realpage_lat,realpage_long,realpage_address,realpage_compnumberone,realpage_compnumbertwo,realpage_compnumberthree,realpage_compnumberfour,realpage_compnumberfive,realpage_compnumbersix,realpage_compnumberseven,realpage_compnumbereight,realpage_compnumbernine,realpage_compnumberten,name_distance,match_type,distance_meters,google_lat,google_lon,geocoding_location_type,google_formatted_address,google_place_id,rp_google_place_id,realpage_reuse_count,is_realpage_reused,match_rank_within_realpage,combined_source
23254,azsanpor,San Portella,Active,85282,Tempe,AZ,null,null,2155 S 55th St,68133,San Portella,85282,Tempe,AZ,33.4050811,-111.965436,2155 S 55th St,17446,10301805,21867,19417,19549,6085,53689,21857,10289480,403,0,exact_name_zip,null,null,null,null,null,null,ChIJxS8x8TkPK4cRLUuQjtWN70o,1,false,1,v2_new
23034,utonebur,One Burton,Active,84115,South Salt Lake,UT,null,null,1 West Burton Avenue,10282154,One Burton,84115,Salt Lake City,UT,40.7193978,-111.8917199,1 W Burton Ave,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,40.7192352,-111.8917199,ROOFTOP,"1 W Burton Ave, South Salt Lake, UT 84115, USA",ChIJSzZ_psSKUocRFfQH8Y5c0aA,null,1,false,1,v2_new
3177,ncsolbuf,Solis Buffaloe,Active,27616,Raleigh,NC,null,null,2500 Red Bartlett Way,10287106,Solis Buffaloe,27616,Raleigh,NC,35.8460177,-78.5114278,2500 Red Bartlett Way,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,35.8460177,-78.51142779999999,ROOFTOP,"2500 Red Bartlett Wy, Raleigh, NC 27616, USA",ChIJmXCrhPxarIkR5fOV9ZkDjWE,null,1,false,1,v2_new
1755,canoho14,NoHo 14,Active,91601,Los Angeles,CA,null,null,5440 N. Tujunga Ave.,22973,NoHo 14,91601,North Hollywood,CA,34.1696739,-118.3789875,5440 Tujunga Ave,38554,34957,42838,59266,19301,70297,59418,38846,65195,10256474,0,exact_name_zip,null,34.2334086,-118.3818811,RANGE_INTERPOLATED,"5440 N Tujunga Ave, Sun Valley, CA 91352, USA",Ei01NDQwIE4gVHVqdW5nYSBBdmUsIFN1biBWYWxsZXksIENBIDkxMzUyLCBVU0EiMRIvChQKEgm5bm0ZBpTCgBGKB9okXff3FxDAKioUChIJ5_HgnwiUwoARz-nmOtcSHKo,ChIJd-WVVO6VwoARVXZTQA4Vto0,1,false,1,v2_new
100127822,mdcharle,The Charles,Active,20814,Bethesda,MD,38.98283,-77.09372857,7342 Wisconsin,10280817,The Charles,20814,Bethesda,MD,38.9832895,-77.0941153,7342 Wisconsin Ave,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,38.9832895,-77.0941153,ROOFTOP,"7342 Wisconsin Ave, Bethesda, MD 20814, USA",ChIJeykUH3vJt4kRRdzA_gh_lbY,null,1,false,1,v2_new
1317072,tntowham,Townes at Hamilton,Active,37013,Antioch,TN,null,null,955 Hamilton Crossings,10299546,Townes at Hamilton,37013,Nashville,TN,36.063403,-86.6320738,955 Hamilton Crossings,70787,18280,10037502,10037491,10268612,10282831,10047880,67142,10269615,10301331,0,exact_name_zip,null,null,null,null,null,null,ChIJuy9Q3ZdtZIgRTK7Lx1yjG9s,1,false,1,v2_new
2500,aztowsur,Town Surprise,Active,85374,Surprise,AZ,null,null,16830 N. 141st. Ave.,10280290,Town Surprise,85374,Surprise,AZ,33.63727,-112.36463,16830 N 141st Ave,10286154,21608,88431,10292640,91613,10261766,24869,10254210,10260705,10298647,0,exact_name_zip,null,null,null,null,null,null,ChIJSes60M5EK4cRC-HVMMLOMwc,1,false,1,v2_new
25392,vaavemoo,Aventon Moorefield,Active,20148,Ashburn,VA,null,null,43601 Charitable St.,10290287,Aventon Moorefield,20148,Ashburn,VA,38.9996882,-77.4942919,43601 Charitable St,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,38.9995949,-77.49421559999999,GEOMETRIC_CENTER,"43601 Charitable St, Ashburn, VA 20148, USA",ChIJURM_cBU_tokRxW1MYQ57QTg,null,1,false,1,v2_new
1330,idwhipar,Whitewater Park Apartments,Active,83702,Boise,ID,null,null,365 N Whitewater Park Blvd,66292,Whitewater Park,83702,Boise,ID,43.62,-116.2264173,365 S Whitewater Park Blvd,41600,41603,56060,51645,59202,41771,65775,41733,59968,41554,11,normalized_name_zip,null,43.62392089999999,-116.2299413,GEOMETRIC_CENTER,"365 N Whitewater Park Blvd, Boise, ID 83702, USA",ChIJKSKEoMf4rlQRWOlnQ9cSa0Y,EjAzNjUgUyBXaGl0ZXdhdGVyIFBhcmsgQmx2ZCwgQm9pc2UsIElEIDgzNzAyLCBVU0EiMRIvChQKEgmFKc9fwPiuVBGlprzskJ_g1xDtAioUChIJf1od7cD4rlQRHyqeBq_Qh1c,1,false,1,v2_new
22699,casevens,Sevens,Active,94043,Mountain View,CA,null,null,777 W Middlefield,63927,The Sevens,94043,Mountain View,CA,37.4018583,-122.075308,777 W Middlefield Rd,null,null,null,null,null,null,null,null,null,null,4,normalized_name_zip,null,37.4029542,-122.0762877,GEOMETRIC_CENTER,"777 W Middlefield Rd, Mountain View, CA 94043, USA",ChIJ2WeiFvC3j4AR_YfrCtH7V2Q,null,1,false,1,v2_new
1383,camisor2,Misora,Active,95128,San Jose,CA,null,null,355 Santana Row #1030,41660,Misora,95128,San Jose,CA,37.31988,-121.947666,355 Santana Row,17568,37849,53337,51883,42434,10251363,17567,51385,44613,48718,0,exact_name_zip,null,null,null,null,null,null,ChIJH_7S7t_Kj4ARXw9mKfV37X0,1,false,1,v2_new
14481,mowiloak,Wild Oak Apartments,Active,64158,Kansas City,MO,null,null,7987 N Flintlock Rd,10276,Wild Oak,64158,Kansas City,MO,39.2382343,-94.4666394,7987 NE Flintlock Rd,78234,30428,74039,59636,30426,10268122,44920,10261401,72105,10074879,11,normalized_name_zip,null,39.2371677,-94.4664584,GEOMETRIC_CENTER,"7987 N Flintlock Rd, Kansas City, MO 64158, USA",ChIJeSX1XPZVwIcRXxlBWiRl4XY,ChIJAW2z-_ZVwIcRF7OpzoPuQ8g,1,false,1,v2_new
23838,ncsorell,Sorella,Active,28206,Charlotte,NC,null,null,4101 Raleigh St,10278060,Sorella,28206,Charlotte,NC,35.2528104,-80.7926409,4101 Raleigh St,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,35.2528104,-80.7926409,ROOFTOP,"4101 Raleigh St, Charlotte, NC 28206, USA",ChIJMRKDWckfVIgRdjioYEpnf_Y,null,1,false,1,v2_new
19790,caverde,Verde,Active,94158,San Francisco,CA,null,null,1070 Bridgeview Street,10084646,Verde,94158,San Francisco,CA,37.7752357,-122.3883005,1070 Bridgeview Way,34744,37060,25414,89844,13841,67274,38423,9427,41157,65460,0,exact_name_zip,null,null,null,null,null,null,ChIJK0ueQ9p_j4ARiujtlu3_RgQ,1,false,1,v2_new
26213,orheartw,Heartwood,Active,97401,Eugene,OR,44.0538778,-123.0855612,500 Ferry Street,10254448,Heartwood,97401,Eugene,OR,44.05373,-123.08558,500 Ferry St,80033,80326,10256073,10261608,50799,78496,10276750,10256072,92320,10056469,0,exact_name_zip,null,44.0541669,-123.0857465,ROOFTOP,"500 Ferry St, Eugene, OR 97401, USA",ChIJA6jQIBEewVQRjv8jqrUEDp8,null,1,false,1,v2_new
null,rpmuster,Museum Terrace,Active,90036,Los Angeles,CA,34.064451,-118.3564838,600 S Curson Ave,10752,Museum Terrace,90036,Los Angeles,CA,34.0645518,-118.3540763,600 S Curson Ave,73443,20369,38535,38874,38264,44615,10022738,3387,34423,19225,0,exact_name_zip,null,34.0644522,-118.3539099,ROOFTOP,"Museum Terrace, 600 S Curson Ave, Los Angeles, CA 90036, USA",ChIJXZwEvCO5woARcaTk0cPly8c,null,1,false,1,v2_new
null,azkonrad,Konrad,Active,85006,Phoenix,AZ,33.451277,-112.06066,901 E. Van Buren St.,9501,Konrad Apartments,85006,Phoenix,AZ,33.4508734,-112.0629137,901 E Van Buren St,56405,9040,6034,65226,82525,46616,70760,10258697,10266951,10252523,11,normalized_name_zip,null,33.4508734,-112.0629137,GEOMETRIC_CENTER,"901 E Van Buren St, Phoenix, AZ 85006, USA",ChIJU_XglxwSK4cRbLbtMRoTGXs,null,1,false,1,v2_new
25727,txovagal,Ovation at Galatyn Park,Active,75082,Richardson,TX,32.9845472,-96.7119751,2323 Plaza Blvd,10263509,Ovation at Galatyn Park,75082,Richardson,TX,32.984239,-96.71041,2323 Plaza Blvd,58354,57589,55796,49767,49038,87061,80405,79557,52524,56458,0,exact_name_zip,null,32.9844016,-96.7101019,GEOMETRIC_CENTER,"2323 Plaza Blvd, Richardson, TX 75082, USA",ChIJ33kU0isfTIYRGbEiC1v6N4A,null,1,false,1,v2_new
25279,azslasc2,Slate Scottsdale,Active,85054,Phoenix,AZ,null,null,18220 North 68th Street,58059,Slate Scottsdale,85054,Phoenix,AZ,33.6515493,-111.9343238,18220 N 68th St,10253258,70971,38714,62124,10260215,80953,10252378,10266733,10254584,51142,0,exact_name_zip,null,null,null,null,null,null,ChIJfRyyUbt2K4cRf9mu_XvzZL8,1,false,1,v2_new
10768,txwesap2,Westhouse Apartment Flats,Active,76244,Fort Worth,TX,null,null,11325 Park Vista Blvd,10254483,The Westhouse,76244,Fort Worth,TX,32.9370993,-97.2726044,11325 Park Vista Blvd,10267687,91442,74769,18386,10282661,77706,56584,55594,42727,88522,19,exact_address_zip,null,null,null,null,null,null,ChIJ3_XgBOfZTYYRNngeuHE5iYo,1,false,1,v2_new
3217,flupshor,Upshore,Active,34684,Palm Harbor,FL,null,null,36090 US Hwy 19 North,10286601,Upshore,34684,Palm Harbor,FL,28.1000582,-82.7409503,36090 US Hwy 19 N,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,28.1000582,-82.7409503,ROOFTOP,"36090 US Hwy 19 N, Palm Harbor, FL 34684, USA",ChIJh_6dx67ywogRF_a_IJmJ7NE,null,1,false,1,v2_new
2560,nytreasu,The Treasury,Active,13202,Syracuse,NY,null,null,101 S Salina,10260806,The Treasury,13202,Syracuse,NY,43.0502997,-76.151835,101 S Salina St,10286368,56493,49328,57741,57750,10049221,63125,62924,62526,63007,0,exact_name_zip,null,null,null,null,null,null,ChIJVVWVqbnz2YkRZW7hKVieLlY,1,false,1,v2_new
10859,utpareas,Park East,Active,84117,Holladay,UT,null,null,1717 East Murray Holladay Road,85338,Park East,84117,Millcreek,UT,40.6667497,-111.8415344,1709 E Murray Holladay Rd,43489,70880,10294618,10253345,10281062,10274431,10255060,46726,65416,55191,0,exact_name_zip,null,null,null,null,null,null,ChIJE5AxKvZhUocRNTyDmj1v6kY,1,false,1,v2_new
25901,azhavto2,Haven Townhomes at P83,Active,85382,Peoria,AZ,33.634294,-112.2259809,7677 W. Paradise Ln.,18859,Haven Townhomes at P83,85382,Peoria,AZ,33.634294,-112.223406,7677 W Paradise Ln,3247,18858,9052,6063,6068,23864,66645,19234,15783,10029040,0,exact_name_zip,null,33.6342733,-112.2238714,GEOMETRIC_CENTER,"7677 W Paradise Ln, Peoria, AZ 85382, USA",ChIJEQVULdZpK4cRQzGf9DAq--Q,null,1,false,1,v2_new
26800,flyacclu,Yacht Club at Brickell Apartments,Active,33131,Miami,FL,null,null,1111 Brickell Bay Drive,17098,The Yacht Club at Brickell,33131,Miami,FL,25.7628212,-80.1890442,1111 Brickell Bay Dr,14003,58233,10261470,185,92576,72513,10266613,19637,50115,79468,15,normalized_name_zip,null,25.7628317,-80.189041,ROOFTOP,"1111 Brickell Bay Dr, Miami, FL 33131, USA",ChIJB3PGJ4K22YgRFhWfnlUbm-s,null,1,false,1,v2_new
659,flpearl,The Pearl,Active,33602,Tampa,FL,null,null,2110 N. Ola Ave,37777,The Pearl,33602,Tampa,FL,27.962634,-82.4637702,2110 N Ola Ave,10276166,10286160,62709,50673,10256604,57482,62586,38659,34445,48878,0,exact_name_zip,null,null,null,null,null,null,ChIJ0cywy3rEwogRB3Pyn2JZaDQ,1,false,1,v2_new
3117,pabeastr,Beach Street Landing,Active,19123,Philadelphia,PA,null,null,700 N. Delaware Avenue,10268811,Beach Street Landing I,19123,Philadelphia,PA,39.9619684,-75.1377065,711-735 N Front St,10267793,10268777,43692,51050,49176,10268776,10264154,51220,54194,33948,2,fuzzy_name_zip_lev3,null,39.96219060000001,-75.1381988,ROOFTOP,"700 N Delaware Ave, Philadelphia, PA 19123, USA",ChIJMxdcB2TIxokRvjLe6gcti4U,null,1,false,1,v2_new
null,txtowbay,Tower Bay Lofts,Active,75077,Lewisville,TX,33.08553343,-97.02620514,3000 North Stemmons Fwy,89475,Tower Bay Lofts,75077,Lewisville,TX,33.0859408,-97.024905,3000 N Stemmons Fwy,10263058,67419,10270447,10286746,16435,5300,71433,10267962,10273625,50318,0,exact_name_zip,null,33.0866455,-97.025019,ROOFTOP,"3000 N Stemmons Fwy, Lewisville, TX 75077, USA",ChIJyc4C-j4yTIYRoaRSswWj7yk,null,1,false,1,v2_new
